"city"|"city_ascii"|"lat"|"lng"|"country"|"iso2"|"iso3"|"admin_name"|"capital"|"population"|"id"
"Tokyo"|"Tokyo"|"35.6897"|"139.6922"|"Japan"|"JP"|"JPN"|"Tōkyō"|"primary"|"37732000"|"1392685764"
"Jakarta"|"Jakarta"|"-6.1750"|"106.8275"|"Indonesia"|"ID"|"IDN"|"Jakarta"|"primary"|"33756000"|"1360771077"
"Delhi"|"Delhi"|"28.6100"|"77.2300"|"India"|"IN"|"IND"|"Delhi"|"admin"|"32226000"|"1356872604"
"Guangzhou"|"Guangzhou"|"23.1300"|"113.2600"|"China"|"CN"|"CHN"|"Guangdong"|"admin"|"26940000"|"1156237133"
"Mumbai"|"Mumbai"|"19.0761"|"72.8775"|"India"|"IN"|"IND"|"Mahārāshtra"|"admin"|"24973000"|"1356226629"
"Manila"|"Manila"|"14.5958"|"120.9772"|"Philippines"|"PH"|"PHL"|"Manila"|"primary"|"24922000"|"1608618140"
"Shanghai"|"Shanghai"|"31.2286"|"121.4747"|"China"|"CN"|"CHN"|"Shanghai"|"admin"|"24073000"|"1156073548"
"São Paulo"|"Sao Paulo"|"-23.5500"|"-46.6333"|"Brazil"|"BR"|"BRA"|"São Paulo"|"admin"|"23086000"|"1076532519"
"Seoul"|"Seoul"|"37.5600"|"126.9900"|"Korea| South"|"KR"|"KOR"|"Seoul"|"primary"|"23016000"|"1410836482"
"Mexico City"|"Mexico City"|"19.4333"|"-99.1333"|"Mexico"|"MX"|"MEX"|"Ciudad de México"|"primary"|"21804000"|"1484247881"
"Cairo"|"Cairo"|"30.0444"|"31.2358"|"Egypt"|"EG"|"EGY"|"Al Qāhirah"|"primary"|"20296000"|"1818253931"
"Mora"|"Mora"|"11.0500"|"14.1500"|"Cameroon"|"CM"|"CMR"|"Extrême-Nord"|""|"53667"|"1120392077"
"Manjeri"|"Manjeri"|"11.1202"|"76.1200"|"India"|"IN"|"IND"|"Kerala"|""|"53650"|"1356408570"
"Alcobaça"|"Alcobaca"|"39.5528"|"-8.9778"|"Portugal"|"PT"|"PRT"|"Leiria"|"minor"|"53649"|"1620702700"
"Kongoussi"|"Kongoussi"|"13.3333"|"-1.5333"|"Burkina Faso"|"BF"|"BFA"|"Centre-Nord"|"minor"|"53641"|"1854493633"
